student_id,name,birth_date,date_of_entry,class,dream_job
7014164,Joseph Hanna,1998-06-17,2021-09-23,B,Farm manager
8125426,James Daniels,2001-10-08,2021-11-12,C,
19252,Corey Glover,2001-11-16,2022-04-11,A,
1695302,Brenda Bailey,2005-06-12,2020-03-15,A,
1060144,Jeffrey Sanchez,2003-11-29,2021-10-04,C,"Buyer, industrial"
4210875,Jimmy White,1999-11-16,2020-02-13,A,Marketing executive
2597155,Tammy Mcpherson,2002-07-16,2021-01-14,A,"Doctor, hospital"
5560957,Kimberly Miller,1999-02-23,2020-10-28,A,
3680287,Cynthia West,2003-11-06,2023-02-26,A,
6932064,Miss Kerri Woods,2004-01-01,2023-10-08,B,Environmental manager
7333217,Debra Haas,1998-06-29,2020-04-13,C,
492249,Chad Howard,1998-03-13,2020-07-13,B,"Journalist, newspaper"
4289095,Rebecca Robinson,2001-05-19,2022-01-08,A,Video editor
3511463,Taylor Cummings,2002-07-06,2021-08-21,B,"Nurse, learning disability"
361134,Sabrina Fields,2000-05-15,2023-04-21,C,
2816756,Vanessa Delacruz,2005-02-21,2020-08-08,A,Veterinary surgeon
221282,Dean Green,1999-03-14,2021-03-08,C,
4730854,David Poole,2005-07-29,2022-05-31,C,
7044319,Amanda Hartman,2005-12-28,2023-06-07,B,"Psychologist, occupational"
9040355,Christopher Pena,2002-12-01,2023-04-21,A,Quantity surveyor
5343416,Peggy Powell,2005-11-29,2022-12-02,B,Tax inspector
9190881,Maria Guerra,2003-07-05,2021-11-11,B,Colour technologist
4478578,Danielle Holmes,1998-05-20,2020-12-24,A,
3195240,Johnny Lewis,2002-01-15,2021-09-24,B,
8095263,Maria Barber,2004-05-08,2023-09-05,B,Podiatrist
2740484,Rachel Bruce,2004-07-20,2022-09-17,A,
8546268,Kirk Jones,1998-12-19,2022-01-25,B,
3905322,James White,2005-12-10,2020-10-17,C,
703398,Tammy Santos,1999-07-01,2023-03-15,B,
3597262,Larry Hernandez,2000-10-26,2020-07-21,A,
9941330,Elizabeth Pope,2001-03-23,2022-04-16,B,Legal secretary
1978182,Leonard Callahan,2000-09-20,2020-02-07,C,
9194046,Jennifer Bryant,2001-06-08,2020-02-18,C,Insurance underwriter
1914374,Matthew Cole,2003-01-02,2021-03-20,A,Radiation protection practitioner
4792011,Jon Collins,2005-03-27,2023-08-08,C,Fast food restaurant manager
6228099,Jeremy Wilson,2000-07-12,2023-01-06,B,Race relations officer
4740329,Luis Lawrence,2000-01-21,2021-08-10,C,
7897304,Jennifer Garcia,1999-06-07,2023-04-08,A,
1978748,Samantha Buckley,1998-08-01,2022-09-11,B,"Development worker, community"
1661585,Melissa Munoz,2001-04-16,2020-06-06,A,"Engineer, technical sales"
6291796,Scott Cunningham,1999-11-02,2022-10-17,C,
343953,Monica Fox,2002-02-13,2023-04-23,C,Archivist
7801104,Alexandra Wyatt,2001-09-27,2021-01-18,B,Radio broadcast assistant
485308,Kelly Douglas,2001-01-03,2020-12-27,A,
1718415,Scott Wise,2001-03-02,2020-09-30,C,Diplomatic Services operational officer
1348773,Leslie Williams,1998-06-06,2022-03-10,A,
7281583,Brandy Burns,1999-08-01,2020-05-08,C,Chief Strategy Officer
4519253,Zachary Gomez,1998-04-01,2023-03-09,A,
104831,Donald Byrd,2001-10-21,2020-03-04,B,
6513178,Alejandro Beck,2003-10-23,2020-12-27,C,"Radiographer, diagnostic"
2021442,Cynthia Hayes,1998-04-04,2021-12-04,A,
7459525,Jake Moore,1998-12-10,2021-11-18,B,
1522311,Edward Montgomery,2001-08-22,2022-11-13,B,Chief Strategy Officer
2048269,John Mcdowell,2001-09-13,2022-09-29,C,
1518987,Jacob Williams Jr.,1999-03-07,2020-02-24,C,
6414755,Susan Turner,2001-09-20,2021-12-25,A,Industrial buyer
6767973,Tony Lee,1998-09-08,2022-05-18,C,"Accountant, chartered management"
9923066,Bridget Watson,2000-05-14,2020-01-22,B,
9754816,Ryan Gibbs,2005-10-25,2023-12-06,A,
9159042,Sydney Wilson,2000-11-15,2020-12-02,A,Estate agent
3015055,Theresa Jones,2005-12-11,2020-03-15,B,"Surveyor, mining"
9929050,Tina James,2000-03-09,2023-12-06,A,
9451739,Michael Hernandez,2001-10-03,2022-10-09,B,
8694628,Mrs. Donna White,2003-09-11,2022-04-08,B,
4958460,Lisa Clark,1998-07-26,2023-03-14,A,
6515800,Abigail Walter,2005-05-30,2021-12-25,C,
1433123,John Waller,2004-06-25,2021-09-16,B,"Loss adjuster, chartered"
1787912,Tony Jordan,2005-09-11,2021-09-22,B,
7287347,Michael Jones,2003-11-27,2021-11-15,C,
7241100,Robert Brewer,2005-02-28,2022-08-20,A,
7417097,Jonathan Greene,2002-01-06,2023-05-22,A,Software engineer
7900182,Kimberly Doyle,2002-05-20,2022-09-22,C,
898384,Deborah Graves,1999-02-08,2021-04-01,A,Biomedical engineer
5609914,Daniel Roberts,2000-11-15,2020-07-20,B,Architectural technologist
4529902,Lindsey Cook,2001-11-05,2023-11-06,A,
6352255,Michael Nguyen,2001-02-22,2020-09-12,B,
5898139,Kimberly Morgan,1998-03-16,2023-04-20,A,Financial trader
7580290,Nicholas Turner,2004-05-19,2022-12-30,A,Television/film/video producer
3128121,David Burgess,1999-12-22,2021-06-12,B,"Secretary, company"
9552351,Christopher Bradshaw,2001-09-03,2020-07-22,C,Electrical engineer
1936141,Alexander Williams,2002-12-16,2020-02-17,A,"Development worker, community"
5593649,Douglas Mitchell,2003-04-27,2021-02-23,B,
2665951,Samantha Miller,2003-06-15,2021-11-16,A,
5092378,Dakota Hogan,2004-11-14,2022-12-09,B,
110489,Barry Fitzpatrick,2003-05-04,2023-01-27,B,
2955504,John Campbell,2005-06-09,2020-10-10,C,Higher education careers adviser
5065618,Stephanie Green,2004-02-24,2022-07-30,C,
6959854,Daisy Morgan,2001-06-23,2021-07-15,B,
5775021,Kaitlyn Smith,2003-05-01,2022-07-20,B,
1317208,Mark Patterson,2004-02-27,2022-10-31,B,
2701003,Mr. Brad Russell,1999-05-19,2022-10-31,B,
5713048,Tony Murphy,2004-08-23,2023-10-01,A,
3115610,David Goodman,2002-12-22,2022-04-16,C,
3951211,Douglas Porter,1999-08-26,2022-04-27,A,
5127554,Michelle Allen,2005-08-28,2021-07-29,B,
1864778,Aaron Maldonado,1999-01-08,2021-01-17,C,Sub
8841922,Sarah Ryan,2003-07-01,2022-01-03,B,
5530106,Ellen Stephens,2004-03-15,2020-07-08,B,
6598040,Reginald Osborn,2006-01-13,2021-04-29,A,Armed forces technical officer
1713015,Christopher Williams,1998-07-15,2020-09-22,A,Biomedical scientist
892537,Joanna Martinez,2002-07-24,2022-09-27,A,
8220554,Thomas Meza,1999-10-17,2020-08-26,C,
1494858,Laura Woodard,2004-01-28,2021-12-04,B,Dietitian
533910,Alexis Cameron,2001-04-24,2021-10-20,B,
5979060,Alejandra Simmons,1998-01-17,2023-03-13,A,Environmental education officer
8830507,David Jenkins,2005-12-25,2023-12-01,A,"Conservator, museum/gallery"
3809392,Matthew Kelly,2002-10-07,2023-08-19,A,
7051793,Luis Chapman,2004-01-30,2023-06-25,A,
8898634,John Robinson,2005-02-02,2022-07-16,A,
1705426,Austin Todd,2000-12-24,2023-07-21,B,Field seismologist
3088461,Natalie Sanders,2003-10-16,2021-05-26,C,Astronomer
2749181,Jacob Russell,2000-09-26,2021-04-12,C,Minerals surveyor
2749558,Scott Little,2000-01-20,2023-07-12,A,Operations geologist
3464440,Daniel Campos,2004-04-12,2020-02-02,A,Retail manager
7145872,Megan Morgan,2005-10-14,2020-09-26,A,
4175671,Tasha Davis,1999-04-14,2022-03-31,B,
8972025,Laura Johnson,2003-06-30,2022-03-14,C,
5646192,Taylor Lester PhD,2001-01-26,2023-09-11,B,Fast food restaurant manager
6327162,John Peterson,1999-06-26,2023-03-21,B,Legal secretary
7376229,Gary Davis,2004-10-22,2021-06-05,A,
24783,Alyssa Carson,2004-08-07,2020-08-31,B,
7199785,Dr. Sophia Miller,1999-02-28,2023-05-26,A,
8668033,Robert Diaz,2000-05-27,2023-05-06,A,
862267,Thomas Carlson,2002-03-22,2023-05-12,C,Plant breeder/geneticist
1577935,Selena Bowen,1998-06-20,2020-07-10,B,
8864894,Pamela Barnett,2000-11-10,2021-11-15,C,Planning and development surveyor
2550066,Dawn Schmidt,2005-08-04,2023-02-03,B,
6588838,Cristian Sutton,2003-11-20,2023-11-09,C,Sub
6531601,Zachary Moore,1999-01-30,2022-04-14,A,"Physicist, medical"
8748598,Jeremy Oneill,1999-09-25,2023-08-22,A,
2401772,Lisa Perez,1999-04-03,2023-03-02,C,
7314100,Eric Drake,2004-11-11,2022-03-24,A,Chief Technology Officer
8345482,Jessica Johnson,2000-08-09,2021-09-19,B,
